frame,move,best_total
0,0,26474422.000000
1,379,3016451.000000
2,758,1816879.750000
3,1137,1582216.250000
4,1516,1100261.125000
5,1895,995765.812500
6,2274,943593.312500
7,2653,931981.187500
8,3032,882559.187500
9,3411,880360.062500
10,3790,872079.000000
11,4169,864675.312500
12,4548,858752.375000
13,4927,852800.437500
14,5306,850905.062500
15,5685,838056.625000
16,6064,836473.500000
17,6443,834347.125000
18,6822,834178.187500
19,7201,833976.125000
20,7580,828460.375000
21,7959,826247.187500
22,8338,825096.750000
23,8717,824714.875000
24,9096,821471.437500
25,9475,821423.625000
26,9854,820091.750000
27,10233,818805.375000
28,10612,810087.250000
29,10991,808080.125000
30,11370,807266.125000
31,11749,805946.375000
32,12128,805721.062500
33,12507,804569.125000
34,12886,799839.500000
35,13265,792081.437500
36,13644,787537.562500
37,14023,784291.375000
38,14402,783104.875000
39,14781,780311.437500
40,15160,779987.437500
41,15539,779195.937500
42,15918,778155.562500
43,16297,776685.062500
44,16676,772015.500000
45,17055,770576.937500
46,17434,770128.625000
47,17813,770065.437500
48,18192,769937.937500
49,18571,769937.937500
50,18950,768515.062500
51,19329,767253.812500
52,19708,767050.062500
53,20087,766958.375000
54,20466,764521.625000
55,20845,763743.812500
56,21224,763641.000000
57,21603,763132.375000
58,21982,762863.562500
59,22361,762213.125000
60,22740,761960.937500
61,23119,761831.375000
62,23498,761598.625000
63,23877,761578.812500
64,24256,761526.250000
65,24635,761343.625000
66,25014,760901.000000
67,25393,760461.812500
68,25772,760050.625000
69,26151,759826.750000
70,26530,759526.125000
71,26909,758477.875000
72,27288,758245.812500
73,27667,757878.125000
74,28046,757153.437500
75,28425,757153.437500
76,28804,755780.437500
77,29183,755342.937500
78,29562,755342.937500
79,29941,755342.937500
