frame,move,temperature,cur_total,cur_hpwl,cur_overlap,cur_boundary,best_total,best_hpwl,best_overlap,best_boundary,accepted
18,6822,84.330514,992246.590218,848502.281115,14374.430910,0.000000,992227.178212,848482.869109,14374.430910,0.000000,354
19,7201,83.489317,963194.446456,847779.008109,11541.543835,0.000000,963194.446456,847779.008109,11541.543835,0.000000,359
20,7580,83.071870,960240.841112,846660.384363,11358.045675,0.000000,960240.841112,846660.384363,11358.045675,0.000000,368
21,7959,82.243228,916577.619032,842038.769731,7453.884930,0.000000,916577.619032,842038.769731,7453.884930,0.000000,376
22,8338,81.422852,897998.254410,837690.045975,6030.820844,0.000000,897998.254410,837690.045975,6030.820844,0.000000,384
23,8717,80.610659,891426.037657,832163.226281,5926.281138,0.000000,891426.037657,832163.226281,5926.281138,0.000000,392
24,9096,79.806568,891033.814034,831771.002658,5926.281138,0.000000,890977.443291,831714.631916,5926.281138,0.000000,397
25,9475,79.010497,888762.257938,829499.446562,5926.281138,0.000000,888762.257938,829499.446562,5926.281138,0.000000,402
26,9854,78.222368,886056.584763,826793.773387,5926.281138,0.000000,886008.472847,826745.661472,5926.281138,0.000000,409
27,10233,77.442099,885512.299831,826249.488456,5926.281138,0.000000,885512.299831,826249.488456,5926.281138,0.000000,413
28,10612,76.669614,884776.845719,825514.034343,5926.281138,0.000000,884776.845719,825514.034343,5926.281138,0.000000,418
29,10991,76.286266,884625.653491,825362.842115,5926.281138,0.000000,884625.653491,825362.842115,5926.281138,0.000000,422
30,11370,75.525311,884402.449528,825139.638153,5926.281138,0.000000,884402.449528,825139.638153,5926.281138,0.000000,423
31,11749,74.771946,880915.580282,821652.768907,5926.281138,0.000000,880915.580282,821652.768907,5926.281138,0.000000,428
32,12128,74.026096,880921.545647,821658.734272,5926.281138,0.000000,880915.580282,821652.768907,5926.281138,0.000000,432
33,12507,73.287685,880432.273828,821169.462452,5926.281138,0.000000,880432.273828,821169.462452,5926.281138,0.000000,438
34,12886,72.556641,878067.912813,819256.042847,5881.186997,0.000000,878067.912813,819256.042847,5881.186997,0.000000,442
35,13265,71.832888,877972.117448,819160.247483,5881.186997,0.000000,877972.117448,819160.247483,5881.186997,0.000000,446
36,13644,71.116355,877354.724944,818542.854978,5881.186997,0.000000,877354.724944,818542.854978,5881.186997,0.000000,448
