frame,move,temperature,cur_total,cur_hpwl,cur_overlap,cur_boundary,best_total,best_hpwl,best_overlap,best_boundary,accepted
0,0,100.000000,1730276.575535,18413.594286,171186.298125,0.000000,1730276.575535,18413.594286,171186.298125,0.000000,0
1,379,99.500000,17448.857144,17448.857144,0.000000,0.000000,17418.857353,17418.857353,0.000000,0.000000,77
2,758,98.507487,16405.989525,16405.989525,0.000000,0.000000,16405.874154,16405.874154,0.000000,0.000000,157
3,1137,97.524875,16301.612054,16301.612054,0.000000,0.000000,16116.711909,16116.711909,0.000000,0.000000,225
4,1516,96.552065,16325.731474,16325.731474,0.000000,0.000000,16115.312093,16115.312093,0.000000,0.000000,294
5,1895,95.588958,16553.478127,16553.478127,0.000000,0.000000,15989.572799,15989.572799,0.000000,0.000000,369
6,2274,94.635458,16158.188085,16158.188085,0.000000,0.000000,15989.572799,15989.572799,0.000000,0.000000,439
7,2653,93.691469,16256.440692,16256.440692,0.000000,0.000000,15989.572799,15989.572799,0.000000,0.000000,528
8,3032,92.756897,15846.761817,15846.761817,0.000000,0.000000,15775.400159,15775.400159,0.000000,0.000000,597
9,3411,91.831647,15760.007461,15760.007461,0.000000,0.000000,15708.738556,15708.738556,0.000000,0.000000,678
10,3790,91.372489,15357.482803,15357.482803,0.000000,0.000000,15250.414728,15250.414728,0.000000,0.000000,764
11,4169,90.461048,15411.971659,15411.971659,0.000000,0.000000,15250.414728,15250.414728,0.000000,0.000000,829
12,4548,89.558699,15507.663731,15507.663731,0.000000,0.000000,15250.414728,15250.414728,0.000000,0.000000,906
13,4927,88.665351,15816.208006,15816.208006,0.000000,0.000000,15250.414728,15250.414728,0.000000,0.000000,984
14,5306,87.780914,16066.442124,16066.442124,0.000000,0.000000,15250.414728,15250.414728,0.000000,0.000000,1054
15,5685,86.905300,15697.360748,15697.360748,0.000000,0.000000,15250.414728,15250.414728,0.000000,0.000000,1126
16,6064,86.038419,15546.498272,15546.498272,0.000000,0.000000,15250.414728,15250.414728,0.000000,0.000000,1199
17,6443,85.180186,15587.038156,15587.038156,0.000000,0.000000,15250.414728,15250.414728,0.000000,0.000000,1277
