frame,move,temperature,cur_total,cur_hpwl,cur_overlap,cur_boundary,best_total,best_hpwl,best_overlap,best_boundary,accepted
45,17055,65.307320,12551471.515863,12156557.577806,39274.771712,21.662209,12551471.515863,12156557.577806,39274.771712,21.662209,890
46,17434,64.655880,12539209.510237,12144295.572179,39274.771712,21.662209,12539209.510237,12144295.572179,39274.771712,21.662209,897
47,17813,64.010937,12506469.377921,12125047.815998,37925.534098,21.662209,12506469.377921,12125047.815998,37925.534098,21.662209,904
48,18192,63.690883,12477154.998794,12108309.227418,36667.955044,21.662209,12477154.998794,12108309.227418,36667.955044,21.662209,910
49,18571,63.055566,12454762.121152,12090886.008291,36170.989192,21.662209,12454762.121152,12090886.008291,36170.989192,21.662209,918
50,18950,62.426587,12375432.383320,12088107.935351,28515.822703,21.662209,12375432.383320,12088107.935351,28515.822703,21.662209,923
51,19329,61.803882,12363485.044565,12076160.596596,28515.822703,21.662209,12363485.044565,12076160.596596,28515.822703,21.662209,929
52,19708,61.187388,12278263.975049,12049626.376304,22289.940134,57.381974,12278263.975049,12049626.376304,22289.940134,57.381974,936
53,20087,60.577044,12246559.360341,12047160.860740,19366.030219,57.381974,12246559.360341,12047160.860740,19366.030219,57.381974,944
54,20466,59.972788,12222424.201559,12025219.149891,19146.685426,57.381974,12222424.201559,12025219.149891,19146.685426,57.381974,955
55,20845,59.374559,12213082.068468,12015906.833231,19143.703783,57.381974,12213082.068468,12015906.833231,19143.703783,57.381974,959
56,21224,58.782298,12142682.390342,12000261.903240,13668.228970,57.381974,12142682.390342,12000261.903240,13668.228970,57.381974,966
57,21603,58.195944,12125334.853233,11980525.433457,13668.228970,81.271301,12125334.853233,11980525.433457,13668.228970,81.271301,973
58,21982,57.904965,12095579.881699,11956319.940706,13470.478738,45.551536,12095579.881699,11956319.940706,13470.478738,45.551536,983
59,22361,57.327363,12055771.933172,11963964.801914,8725.197764,45.551536,12055771.933172,11963964.801914,8725.197764,45.551536,991
60,22740,56.755522,12028429.604498,11938923.959026,8733.942453,21.662209,12028429.604498,11938923.959026,8733.942453,21.662209,999
61,23119,56.189386,12003532.493875,11914026.848404,8733.942453,21.662209,12003532.493875,11914026.848404,8733.942453,21.662209,1008
62,23498,55.628897,12000478.535643,11910972.890172,8733.942453,21.662209,12000478.535643,11910972.890172,8733.942453,21.662209,1012
63,23877,55.073999,11997418.260803,11907912.615332,8733.942453,21.662209,11997418.260803,11907912.615332,8733.942453,21.662209,1015
64,24256,54.524635,11949948.673710,11874848.040179,7293.441259,21.662209,11949948.673710,11874848.040179,7293.441259,21.662209,1024
65,24635,53.980752,11881638.763272,11862290.804003,1718.173833,21.662209,11881638.763272,11862290.804003,1718.173833,21.662209,1031
66,25014,53.442294,11880097.630097,11860749.670828,1718.173833,21.662209,11880097.630097,11860749.670828,1718.173833,21.662209,1034
67,25393,53.175083,11879497.570833,11860149.611564,1718.173833,21.662209,11879497.570833,11860149.611564,1718.173833,21.662209,1037
68,25772,52.644661,11874274.880269,11860035.493701,1207.316563,21.662209,11874274.880269,11860035.493701,1207.316563,21.662209,1039
69,26151,52.119531,11873706.541768,11859467.155200,1207.316563,21.662209,11873699.624898,11859460.238330,1207.316563,21.662209,1041
70,26530,51.599638,11872524.161128,11858284.774559,1207.316563,21.662209,11872524.161128,11858284.774559,1207.316563,21.662209,1042
71,26909,51.084932,11868455.703244,11854216.316676,1207.316563,21.662209,11868455.703244,11854216.316676,1207.316563,21.662209,1045
72,27288,50.575360,11865884.621045,11851645.234477,1207.316563,21.662209,11865884.621045,11851645.234477,1207.316563,21.662209,1049
73,27667,50.070871,11864044.742040,11849805.355472,1207.316563,21.662209,11863974.634184,11849735.247616,1207.316563,21.662209,1051
74,28046,49.571414,11849543.769188,11835304.382620,1207.316563,21.662209,11849543.769188,11835304.382620,1207.316563,21.662209,1061
75,28425,49.076939,11846528.518692,11832289.132124,1207.316563,21.662209,11846528.518692,11832289.132124,1207.316563,21.662209,1065
76,28804,48.587396,11840963.105911,11827332.571104,1146.431387,21.662209,11840963.105911,11827332.571104,1146.431387,21.662209,1070
77,29183,48.344459,11835906.674966,11823172.653754,1056.780027,21.662209,11835906.674966,11823172.653754,1056.780027,21.662209,1073
78,29562,47.862223,11829875.240361,11817141.219149,1056.780027,21.662209,11829875.240361,11817141.219149,1056.780027,21.662209,1076
79,30000,47.147874,11826770.792475,11814036.771262,1056.780027,21.662209,11826770.792475,11814036.771262,1056.780027,21.662209,1081
