frame,move,temperature,cur_total,cur_hpwl,cur_overlap,cur_boundary,best_total,best_hpwl,best_overlap,best_boundary,accepted
0,0,100.000000,170045866.383286,13199715.910123,15684615.047316,0.000000,170045866.383286,13199715.910123,15684615.047316,0.000000,0
1,379,99.500000,72576912.918529,13301452.509036,5927546.040949,0.000000,72576912.918529,13301452.509036,5927546.040949,0.000000,137
2,758,98.507487,46778660.884660,13274762.850731,3350389.803393,0.000000,46778660.884660,13274762.850731,3350389.803393,0.000000,228
3,1137,97.524875,36925645.942019,13253684.331635,2367196.161038,0.000000,36925645.942019,13253684.331635,2367196.161038,0.000000,280
4,1516,96.552065,29155229.377741,13201245.287616,1595398.409012,0.000000,29155229.377741,13201245.287616,1595398.409012,0.000000,323
5,1895,95.588958,26180837.575764,13204682.484875,1297615.509089,0.000000,26180837.575764,13204682.484875,1297615.509089,0.000000,357
6,2274,94.635458,24137023.289154,13197449.145839,1093957.414331,0.000000,24137023.289154,13197449.145839,1093957.414331,0.000000,378
7,2653,93.691469,21629495.845920,13153452.271968,847604.357395,0.000000,21629495.845920,13153452.271968,847604.357395,0.000000,408
8,3032,92.756897,21024753.008698,13065853.523702,795518.406676,37.154182,21024753.008698,13065853.523702,795518.406676,37.154182,428
9,3411,91.831647,19452950.441735,13021208.874442,642802.614906,37.154182,19452950.441735,13021208.874442,642802.614906,37.154182,452
10,3790,91.372489,18713038.778527,12980453.788497,572684.250876,57.424813,18713038.778527,12980453.788497,572684.250876,57.424813,480
11,4169,90.461048,17648953.962869,12964820.346596,468210.655324,20.270630,17648953.962869,12964820.346596,468210.655324,20.270630,499
12,4548,89.558699,16564206.673506,12886117.784687,367808.888882,0.000000,16564206.673506,12886117.784687,367808.888882,0.000000,525
13,4927,88.665351,16398627.645853,12835096.024423,356353.162143,0.000000,16398627.645853,12835096.024423,356353.162143,0.000000,541
14,5306,87.780914,16133836.611221,12820744.829074,331309.178215,0.000000,16133836.611221,12820744.829074,331309.178215,0.000000,558
15,5685,86.905300,15667074.124186,12788997.143878,287807.698031,0.000000,15667074.124186,12788997.143878,287807.698031,0.000000,575
16,6064,86.038419,15483331.876171,12726472.587549,275685.928862,0.000000,15483331.876171,12726472.587549,275685.928862,0.000000,593
17,6443,85.180186,15079107.636668,12734394.360699,234471.327597,0.000000,15079107.636668,12734394.360699,234471.327597,0.000000,603
18,6822,84.330514,15023214.574356,12706595.376338,231661.919802,0.000000,15023214.574356,12706595.376338,231661.919802,0.000000,614
19,7201,83.489317,14818964.702254,12643082.725257,217588.197700,0.000000,14818964.702254,12643082.725257,217588.197700,0.000000,631
20,7580,83.071870,14623516.801574,12647470.336958,197604.646462,0.000000,14623516.801574,12647470.336958,197604.646462,0.000000,637
21,7959,82.243228,14552284.232855,12620319.345670,193196.488719,0.000000,14552284.232855,12620319.345670,193196.488719,0.000000,645
22,8338,81.422852,14447446.747172,12584174.880011,186327.186716,0.000000,14447446.747172,12584174.880011,186327.186716,0.000000,659
23,8717,80.610659,14396053.514905,12552609.156253,184344.435865,0.000000,14396053.514905,12552609.156253,184344.435865,0.000000,669
24,9096,79.806568,14276760.242374,12543820.318645,173293.992373,0.000000,14276760.242374,12543820.318645,173293.992373,0.000000,681
25,9475,79.010497,14235447.272308,12506333.563085,172911.370922,0.000000,14235447.272308,12506333.563085,172911.370922,0.000000,686
26,9854,78.222368,13830007.186980,12516385.071385,131362.211559,0.000000,13830007.186980,12516385.071385,131362.211559,0.000000,697
27,10233,77.442099,13674853.218114,12498480.042433,117204.239770,43.307780,13674853.218114,12498480.042433,117204.239770,43.307780,712
28,10612,76.669614,13632055.627818,12481556.451019,114616.839882,43.307780,13632055.627818,12481556.451019,114616.839882,43.307780,725
29,10991,76.286266,13541952.207443,12454564.141182,108305.728828,43.307780,13541952.207443,12454564.141182,108305.728828,43.307780,740
30,11370,75.525311,13501447.353827,12437000.672415,106011.590343,43.307780,13501360.125379,12436172.013552,106085.733384,43.307780,755
31,11749,74.771946,13474642.652983,12423400.543060,104691.133194,43.307780,13474642.652983,12423400.543060,104691.133194,43.307780,767
32,12128,74.026096,13367375.995449,12400849.305967,96219.591150,43.307780,13367375.995449,12400849.305967,96219.591150,43.307780,774
33,12507,73.287685,13143357.724275,12390138.200956,74888.874534,43.307780,13143357.724275,12390138.200956,74888.874534,43.307780,783
34,12886,72.556641,13059795.527487,12366947.678317,68851.707119,43.307780,13059770.071295,12366922.222125,68851.707119,43.307780,797
35,13265,71.832888,13027614.519982,12350265.892981,67301.784902,43.307780,13027614.519982,12350265.892981,67301.784902,43.307780,803
36,13644,71.116355,12835798.932104,12337801.831895,49366.632223,43.307780,12835798.932104,12337801.831895,49366.632223,43.307780,817
37,14023,70.406970,12792142.064255,12335687.082166,45212.420411,43.307780,12792142.064255,12335687.082166,45212.420411,43.307780,824
38,14402,69.704660,12767130.914074,12325185.547064,43761.458903,43.307780,12767130.914074,12325185.547064,43761.458903,43.307780,832
39,14781,69.356137,12752107.634189,12310162.267180,43761.458903,43.307780,12752107.634189,12310162.267180,43761.458903,43.307780,836
40,15160,68.664309,12695214.159153,12284041.388015,41117.277114,0.000000,12695214.159153,12284041.388015,41117.277114,0.000000,847
41,15539,67.979383,12679146.725168,12277822.605671,40132.411950,0.000000,12679146.725168,12277822.605671,40132.411950,0.000000,854
42,15918,67.301288,12660186.006110,12258756.950256,40142.905585,0.000000,12660186.006110,12258756.950256,40142.905585,0.000000,862
43,16297,66.629958,12629827.046811,12223405.781731,40642.126508,0.000000,12629827.046811,12223405.781731,40642.126508,0.000000,871
44,16676,65.965324,12585092.416276,12187193.613619,39573.258172,21.662209,12585092.416276,12187193.613619,39573.258172,21.662209,880
