frame,move,best_total
0,0,113451952.000000
1,379,60999988.000000
2,758,40298232.000000
3,1137,33259158.000000
4,1516,28045930.000000
5,1895,25758130.000000
6,2274,21491808.000000
7,2653,20558746.000000
8,3032,19662896.000000
9,3411,18771624.000000
10,3790,17391032.000000
11,4169,16814502.000000
12,4548,16589214.000000
13,4927,15597141.000000
14,5306,15050574.000000
15,5685,14808919.000000
16,6064,14755711.000000
17,6443,14603247.000000
18,6822,14235854.000000
19,7201,14153573.000000
20,7580,14019089.000000
21,7959,13928782.000000
22,8338,13668252.000000
23,8717,13633539.000000
24,9096,13586292.000000
25,9475,13470480.000000
26,9854,13302460.000000
27,10233,13077500.000000
28,10612,12988079.000000
29,10991,12859584.000000
30,11370,12844343.000000
31,11749,12827277.000000
32,12128,12814428.000000
33,12507,12779896.000000
34,12886,12757055.000000
35,13265,12731864.000000
36,13644,12696665.000000
37,14023,12679708.000000
38,14402,12643242.000000
39,14781,12518978.000000
40,15160,12507136.000000
41,15539,12489857.000000
42,15918,12433827.000000
43,16297,12369940.000000
44,16676,12364868.000000
45,17055,12343064.000000
46,17434,12278457.000000
47,17813,12226722.000000
48,18192,12034860.000000
49,18571,12021999.000000
50,18950,12012456.000000
51,19329,11981505.000000
52,19708,11976740.000000
53,20087,11959036.000000
54,20466,11949471.000000
55,20845,11913308.000000
56,21224,11904439.000000
57,21603,11896298.000000
58,21982,11830512.000000
59,22361,11825142.000000
60,22740,11816419.000000
61,23119,11806075.000000
62,23498,11785790.000000
63,23877,11755527.000000
64,24256,11748580.000000
65,24635,11733000.000000
66,25014,11721413.000000
67,25393,11713386.000000
68,25772,11709399.000000
69,26151,11692848.000000
70,26530,11686990.000000
71,26909,11683212.000000
72,27288,11669364.000000
73,27667,11662520.000000
74,28046,11649181.000000
75,28425,11646499.000000
76,28804,11630083.000000
77,29183,11611832.000000
78,29562,11611534.000000
79,29941,11603684.000000
